서비스ID,서비스명,소관기관,분야,지원유형,대상 연령(최소),대상 연령(최대),청년 관련 근거,보조금24 주소
645000000170,전북 청년 군복무 상해보험 가입지원,전북특별자치도,생활안정,현금(보험),18,39,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/645000000170
646000000118,다둥이가정 육아용품 구입비 지원,전남광주통합특별시,보육·교육,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/646000000118
646000000193,결혼이민자 국적취득비용(수수료) 지원,전남광주통합특별시,행정·안전,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/646000000193
646000000206,청년농업인 농지 확보 지원 서비스,전남광주통합특별시,농림축산어업,현금,18,120,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/646000000206
646000000207,경력단절여성 경력이음바우처 지원 서비스,전남광주통합특별시,고용·창업,기타,30,65,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/646000000207
646000000219,귀농어귀촌인 우수 창업 활성화 지원,전남광주통합특별시,생활안정,현금,18,60,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/646000000219
647000000102,대학생 학자금 대출이자 지원,경상북도,보육·교육,현금(감면),18,40,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/647000000102
647000000112,저소득주민자녀장학금지급,경상북도,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/647000000112
647000000120,공공근로,경상북도,고용·창업,서비스(일자리),18,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/647000000120
647000000138,취약계층 아동건전 육성 지원,경상북도,보육·교육,현금,,18,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/647000000138
647000000168,농어민수당지원,경상북도,농림축산어업,기타,18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/647000000168
647000000190,20대 결혼 축하 혼수 비용 지원,경상북도,생활안정,현금,18,29,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/647000000190
648000001019,대학생 장학금 지원,경상남도,보육·교육,현금(장학금),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/648000001019
648000001109,청년 문화예술패스 발급,경상남도,문화·환경,이용권,19,20,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/648000001109
648000001143,새일여성인턴 취업장려금 지급,경상남도,고용·창업,현금,18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/648000001143
648000001158,중장년 채용장려금 지원,경상남도,고용·창업,서비스(일자리),,,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/648000001158
650000000263,해피아이 육아지원금 지원,제주특별자치도,보육·교육,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/650000000263
650000000267,통합복지기금(청소년육성계정) 장학금 지원,제주특별자치도,보육·교육,현금(장학금),17,34,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/650000000267
650000000269,"주거비 지원(신혼부부 전세이자 지원, 둘째자녀 주거임차비, 사회초년생 연월세 이자 지원)",제주특별자치도,주거·자립,현금,18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/650000000269
650000000281,입양축하금 지원,제주특별자치도,생활안정,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/650000000281
650000000307,가정위탁종료 및 시설퇴소아동 자립정착금 지원,제주특별자치도,주거·자립,현금,,17,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/650000000307
654000000040,전북특별자치도 신혼부부 및 청년 임대보증금 지원사업,전북특별자치도,주거·자립,현금(융자),18,120,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/654000000040
832000000007,직업계고 취업플러스+ 지원,전북특별자치도교육청,보육·교육,이용권,,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/832000000007
999000000002,개별연장급여,고용노동부,고용·창업,현금,19,65,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000002
999000000005,상병급여,고용노동부,고용·창업,현금,18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000005
999000000010,장애인 취업성공패키지,고용노동부,고용·창업,서비스(일자리),18,69,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000010
999000000012,훈련연장급여,고용노동부,고용·창업,현금,18,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000012
999000000021,기존주택 매입임대주택 지원사업,국토교통부,주거·자립,기타,19,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000021
999000000022,기존주택 전세임대주택 지원사업,국토교통부,주거·자립,기타,19,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000022
999000000026,행복주택 공급,국토교통부,주거·자립,기타,18,40,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000026
999000000056,한-뉴질랜드 FTA 수산협력사업,해양수산부,농림축산어업,기타(교육),,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000056
999000000090,다자녀(세 자녀 이상) 국가장학금,교육부,보육·교육,현금(장학금),18,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/999000000090
B01000300004,국민행복기금 채무상환 유예 및 연장,한국자산관리공사,생활안정,기타,19,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B01000300004
B01000300006,국민행복기금 학자금 대출 채무조정,한국자산관리공사,생활안정,현금(감면),18,40,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B01000300006
B27000100025,무료 소송대리 서비스(결혼이민자·귀화허가자),대한법률구조공단,행정·안전,기타(상담),18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B27000100025
B27000100029,무료 소송대리 서비스(청년미취업자 및 대학생),대한법률구조공단,행정·안전,기타(상담),,120,명칭,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B27000100029
B27000100043,무료 소송대리 서비스(미혼모·부),대한법률구조공단,행정·안전,기타(상담),18,44,연령조건,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B27000100043
B37003100003,스포츠산업 일자리 정보 및 매칭 지원,서울올림픽기념국민체육진흥공단,고용·창업,서비스(일자리),18,64,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B37003100003
B37003100005,스포츠과학분야 견학 프로그램,서울올림픽기념국민체육진흥공단,보육·교육,시설이용,,120,본문,https://www.gov.kr/portal/rcvfvrSvc/dtlEx/B37003100005
